Actual Rating,Predicted Rating
4.3,4.27
4.0,4.0
3.9,3.9
4.1,4.1
4.1,4.1
3.7,3.7
3.9,3.9
3.9,3.9
3.5,3.5
4.1,4.1
3.5,3.5
4.0,4.0
4.3,4.3
4.2,4.08
3.3,3.32
4.3,4.3
4.1,4.09
3.9,3.9
4.0,4.0
3.9,3.9
3.8,3.69
4.7,4.69
4.0,3.47
4.1,4.1
4.1,4.1
4.2,4.2
3.9,3.9
4.4,4.4
2.7,2.62
4.2,4.2
3.9,3.9
2.7,2.7
4.0,4.02
4.2,4.2
4.4,4.48
3.9,3.9
4.3,4.3
4.4,4.4
4.1,4.1
4.1,4.1
4.1,4.1
3.7,3.71
4.0,4.0
3.8,3.8
3.6,3.6
4.0,4.0
4.0,4.0
3.7,3.7
4.5,4.5
3.8,3.8
3.8,3.8
3.6,3.6
4.5,4.5
3.8,3.8
4.0,4.0
3.8,3.8
3.9,3.88
4.1,4.1
4.2,3.95
4.9,4.89
4.1,4.1
3.9,3.9
4.1,4.1
3.7,3.71
4.0,3.99
4.1,4.08
3.9,3.9
4.4,4.23
3.8,3.89
4.3,4.3
4.2,4.2
4.5,4.39
4.0,4.0
3.8,3.8
3.6,3.6
3.8,3.8
3.8,3.75
3.8,3.8
4.3,4.27
4.1,4.1
3.7,3.7
4.2,4.2
3.8,3.8
4.2,4.2
3.2,3.2
4.1,4.1
3.5,3.5
3.8,3.8
3.1,3.12
4.0,4.0
4.2,4.3
4.3,4.3
3.6,4.08
4.1,4.1
3.9,3.49
3.5,3.5
4.4,4.4
4.2,4.2
4.3,4.3
3.8,3.8
3.9,3.9
3.3,3.3
2.9,2.9
4.3,4.3
3.4,3.4
4.2,4.2
4.0,4.0
2.6,3.59
3.9,3.9
3.5,3.5
3.9,3.9
3.7,3.7
4.1,4.1
4.2,4.2
3.8,3.8
2.4,2.4
4.2,4.2
3.7,3.63
4.2,4.13
2.4,3.6
4.3,4.3
4.0,4.0
3.8,3.8
3.9,3.9
3.9,3.91
4.4,4.4
3.9,3.9
4.1,4.1
4.1,4.1
3.7,3.7
