online_order,book_table,votes,location,rest_type,cost
1,1,775,1,20,800
1,0,787,1,20,800
1,0,918,1,16,800
0,0,88,1,62,300
0,0,166,4,20,600
1,0,286,4,20,600
1,1,2556,1,22,600
1,0,324,1,13,700
1,0,504,1,13,550
1,0,402,1,13,500
1,1,150,1,13,600
1,1,164,1,13,500
0,0,424,1,13,450
1,0,918,1,16,800
1,0,90,1,13,650
1,0,133,1,13,800
1,0,144,1,13,700
0,0,93,1,13,300
1,0,62,1,13,400
1,0,180,1,13,500
1,0,62,1,65,600
0,0,148,4,22,550
1,0,219,4,13,600
1,0,506,1,62,500
1,0,172,1,29,750
1,0,415,1,62,500
1,0,230,1,29,650
1,0,1647,1,20,600
1,0,4884,30,20,750
1,0,133,4,62,200
1,0,286,1,62,500
1,0,540,1,62,800
1,1,2556,1,22,600
0,0,36,1,29,400
1,0,244,46,62,300
1,0,804,46,20,450
1,0,679,63,20,850
1,0,245,46,62,300
0,0,345,1,30,400
1,0,618,30,20,750
0,0,1047,1,62,450
1,0,627,1,29,450
1,1,354,1,20,800
0,0,244,1,20,800
1,1,163,46,20,800
0,1,808,1,20,850
1,0,1720,4,62,400
0,0,868,1,57,1200
0,0,520,1,62,300
0,0,299,1,62,300
1,0,558,4,62,150
0,0,39,1,62,350
1,0,146,1,9,400
1,0,4401,30,20,600
0,0,283,1,20,600
0,0,62,1,4,800
0,0,65,1,62,300
1,0,71,4,30,400
0,0,52,1,62,300
0,0,130,1,62,200
0,0,45,1,72,400
1,0,201,1,62,300
1,0,771,1,20,450
0,0,98,1,4,800
1,1,175,30,20,500
1,0,540,4,20,650
1,0,124,46,62,400
1,0,340,1,72,500
1,0,505,1,62,450
1,0,438,30,30,500
1,0,264,54,20,750
1,0,97,30,62,350
1,0,195,30,20,800
1,0,228,30,13,400
1,1,364,30,20,1200
1,0,107,4,9,150
1,0,167,46,62,300
1,0,64,4,62,500
1,0,290,1,62,450
1,0,233,4,62,200
1,0,115,46,62,250
1,1,291,30,13,650
1,0,155,30,9,300
1,0,305,46,20,700
1,0,38,1,30,150
1,0,441,1,62,400
1,0,630,30,62,200
1,0,160,46,62,300
1,0,287,1,62,350
1,0,402,1,13,500
1,0,469,4,20,750
1,0,511,46,20,550
1,0,264,1,62,200
1,0,62,1,13,400
1,0,693,1,20,750
1,0,242,30,20,650
1,0,163,4,62,500
1,0,191,4,62,250
1,0,32,1,62,150
1,0,247,1,20,500
1,1,2339,30,20,1500
1,0,337,30,62,300
1,0,135,1,20,800
1,0,172,79,20,700
1,0,105,1,20,700
1,0,504,1,13,550
1,1,1129,30,20,1300
1,0,860,1,30,500
1,0,412,30,20,700
1,1,142,30,20,1000
1,0,143,30,20,750
1,0,181,30,9,250
1,0,70,30,62,200
1,0,164,4,62,600
1,0,58,46,62,650
0,0,148,4,22,550
0,0,206,4,62,450
0,0,217,4,20,450
0,0,148,4,62,150
1,0,177,30,20,700
1,0,136,1,62,600
1,0,185,30,62,200
1,0,155,54,20,400
1,0,42,1,62,300
1,0,286,4,20,600
1,0,160,1,20,700
1,0,59,1,20,750
1,0,89,30,62,200
1,0,40,4,20,600
1,0,35,4,62,200
1,0,62,1,65,600
1,0,139,30,20,550
1,0,237,1,62,200
1,0,388,1,20,650
1,0,128,46,20,500
1,1,1875,30,20,1200
1,0,90,1,13,650
1,0,179,1,29,600
1,0,275,4,62,100
1,0,323,30,20,850
1,0,322,30,20,400
1,0,157,30,13,450
1,0,543,4,62,300
1,0,180,1,13,500
1,0,444,4,62,100
1,0,134,30,62,400
1,0,577,30,20,900
1,0,144,30,20,550
1,0,787,1,20,800
1,0,84,1,62,250
1,1,349,1,20,1200
1,0,248,46,62,400
1,0,216,4,13,500
1,0,324,1,13,700
1,0,231,46,62,400
1,0,102,79,20,400
1,0,133,1,13,800
1,0,45,1,20,800
1,0,75,1,62,200
1,0,53,63,29,600
1,1,815,30,20,900
1,1,633,1,20,800
1,0,56,30,30,400
1,0,70,1,30,400
1,0,91,30,13,300
1,0,77,46,13,650
1,0,210,46,20,600
1,0,130,30,13,650
1,0,30,30,9,100
1,0,144,1,13,700
1,0,133,30,20,700
1,0,136,30,62,350
1,0,74,4,62,300
1,0,54,4,13,600
1,0,58,4,13,400
1,0,129,1,20,600
1,0,41,75,44,400
1,0,176,4,20,800
1,0,47,30,66,400
1,1,36,30,20,650
1,0,101,4,62,150
1,1,442,30,60,1200
1,0,53,30,62,250
1,0,232,30,62,400
1,0,221,30,20,700
1,1,1063,30,21,1200
1,0,93,4,62,200
1,0,233,30,20,800
1,0,211,30,20,500
1,0,1778,30,62,200
1,0,218,82,20,800
1,0,514,4,13,600
1,1,866,30,20,900
1,0,96,46,62,400
1,0,80,1,62,250
1,0,73,4,0,300
1,0,84,30,69,400
1,0,88,1,62,350
1,0,179,1,20,600
1,0,61,4,62,100
1,0,128,79,20,450
1,0,339,30,62,400
1,0,449,4,62,100
1,0,210,30,32,150
1,0,213,1,62,400
1,0,208,30,12,250
1,0,70,1,62,100
1,0,219,4,13,600
1,0,59,1,62,200
1,0,124,46,20,750
1,1,775,1,20,800
1,1,2022,30,20,1000
1,1,150,1,13,600
1,0,232,4,20,750
1,1,431,30,20,800
1,1,2115,1,20,800
1,0,150,30,20,800
1,0,155,30,20,450
1,1,666,30,21,1000
1,0,240,4,13,700
1,0,918,1,16,800
1,0,465,30,20,600
1,1,970,30,54,1500
1,0,128,1,62,300
1,0,241,46,62,300
1,0,734,1,62,200
1,0,130,30,62,400
1,0,261,30,13,700
1,0,191,46,62,300
1,0,364,4,20,550
1,0,888,1,20,750
1,0,750,4,20,500
1,1,164,1,13,500
1,0,527,4,20,500
0,0,345,1,30,400
0,0,356,1,69,150
1,0,38,1,30,150
